# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3]
1000 100
57 1.4125 0.761432 8.84086
58 1.4375 0.739397 9.26368
59 1.4625 0.72606 9.69338
60 1.4875 0.729222 10.1398
61 1.5125 0.72061 10.5961
62 1.5375 0.720937 11.0677
63 1.5625 0.736455 11.5652
64 1.5875 0.742022 12.0827
65 1.6125 0.761554 12.6307
66 1.6375 0.791659 13.2181
67 1.6625 0.800897 13.8307
68 1.6875 0.843811 14.4957
69 1.7125 0.874062 15.205
70 1.7375 0.91923 15.973
71 1.7625 0.955712 16.7946
72 1.7875 0.978326 17.6596
73 1.8125 1.00695 18.575
74 1.8375 1.05186 19.5578
75 1.8625 1.08598 20.6003
76 1.8875 1.11198 21.6967
77 1.9125 1.133 22.8435
78 1.9375 1.14798 24.0362
79 1.9625 1.17596 25.2895
80 1.9875 1.18765 26.5878
81 2.0125 1.19746 27.9299
82 2.0375 1.18461 29.2909
83 2.0625 1.1561 30.6519
84 2.0875 1.14125 32.0282
85 2.1125 1.10643 33.3947
86 2.1375 1.08151 34.7622
87 2.1625 1.05801 36.1313
88 2.1875 1.03491 37.5018
89 2.2125 1.00927 38.8689
90 2.2375 0.995318 40.2478
91 2.2625 0.971233 41.6237
92 2.2875 0.958006 43.0108
93 2.3125 0.944876 44.4091
94 2.3375 0.934856 45.8226
95 2.3625 0.937974 47.2712
96 2.3875 0.927558 48.7344
97 2.4125 0.928953 50.2306
98 2.4375 0.912552 51.731
99 2.4625 0.911035 53.2598
100 2.4875 0.917367 54.8305
7000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000272918 6e-05
37 0.9125 0.00837817 0.002
38 0.9375 0.0640474 0.01766
39 0.9625 0.269996 0.08724
40 0.9875 0.681195 0.27202
41 1.0125 1.13694 0.59624
42 1.0375 1.55053 1.0604
43 1.0625 1.84007 1.6381
44 1.0875 1.90525 2.26472
45 1.1125 1.87356 2.90962
46 1.1375 1.74457 3.53742
47 1.1625 1.60541 4.14082
48 1.1875 1.46493 4.71538
49 1.2125 1.35196 5.26816
50 1.2375 1.21796 5.78694
51 1.2625 1.11889 6.28296
52 1.2875 1.03047 6.75798
53 1.3125 0.95593 7.21592
54 1.3375 0.883267 7.65532
55 1.3625 0.818296 8.07778
56 1.3875 0.792157 8.50188
57 1.4125 0.76081 8.92402
58 1.4375 0.73395 9.3458
59 1.4625 0.724013 9.77644
60 1.4875 0.708955 10.2127
61 1.5125 0.704135 10.6607
62 1.5375 0.720773 11.1345
63 1.5625 0.727974 11.6288
64 1.5875 0.745699 12.1515
65 1.6125 0.756534 12.6986
66 1.6375 0.79655 13.2926
67 1.6625 0.814931 13.919
68 1.6875 0.845506 14.5886
69 1.7125 0.877932 15.3046
70 1.7375 0.909602 16.0682
71 1.7625 0.938196 16.8787
72 1.7875 0.961805 17.7334
73 1.8125 1.0106 18.6568
74 1.8375 1.05371 19.6463
75 1.8625 1.09676 20.7044
76 1.8875 1.13178 21.8258
77 1.9125 1.1458 22.9913
78 1.9375 1.17165 24.2144
79 1.9625 1.17573 25.4737
80 1.9875 1.16787 26.7568
81 2.0125 1.17754 28.0831
82 2.0375 1.16986 29.4337
83 2.0625 1.15328 30.798
84 2.0875 1.12481 32.1611
85 2.1125 1.11576 33.5459
86 2.1375 1.10101 34.9449
87 2.1625 1.07613 36.3445
88 2.1875 1.05686 37.7509
89 2.2125 1.02267 39.1431
90 2.2375 1.00623 40.544
91 2.2625 0.969949 41.9247
92 2.2875 0.960897 43.323
93 2.3125 0.943552 44.7263
94 2.3375 0.921819 46.1271
95 2.3625 0.914821 47.5472
96 2.3875 0.906178 48.9837
97 2.4125 0.91159 50.4593
98 2.4375 0.90932 51.9618
99 2.4625 0.916528 53.5074
100 2.4875 0.924421 55.0981
8000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 9.08367e-05 2e-05
37 0.9125 0.00714546 0.00168
38 0.9375 0.0629352 0.0171
39 0.9625 0.266101 0.08582
40 0.9875 0.65728 0.26448
41 1.0125 1.1674 0.59806
42 1.0375 1.59718 1.07728
43 1.0625 1.80808 1.6462
44 1.0875 1.93085 2.2827
45 1.1125 1.88059 2.9314
46 1.1375 1.7672 3.56868
47 1.1625 1.63748 4.18542
48 1.1875 1.48082 4.7674
49 1.2125 1.32128 5.30876
50 1.2375 1.22657 5.83228
51 1.2625 1.10426 6.32284
52 1.2875 1.0039 6.78664
53 1.3125 0.940622 7.23826
54 1.3375 0.882944 7.6785
55 1.3625 0.832301 8.10914
56 1.3875 0.788353 8.53216
57 1.4125 0.753092 8.95092
58 1.4375 0.738923 9.37646
59 1.4625 0.731369 9.81246
60 1.4875 0.721654 10.2575
61 1.5125 0.718344 10.7154
62 1.5375 0.71152 11.1842
63 1.5625 0.711266 11.6682
64 1.5875 0.733034 12.1831
65 1.6125 0.754848 12.7301
66 1.6375 0.781277 13.314
67 1.6625 0.818712 13.9447
68 1.6875 0.84553 14.6158
69 1.7125 0.877177 15.3327
70 1.7375 0.895184 16.0859
71 1.7625 0.92898 16.8902
72 1.7875 0.981922 17.7646
73 1.8125 1.00833 18.6879
74 1.8375 1.0329 19.6598
75 1.8625 1.06718 20.6916
76 1.8875 1.12112 21.8048
77 1.9125 1.15346 22.9806
78 1.9375 1.15586 24.19
79 1.9625 1.17701 25.4535
80 1.9875 1.18797 26.7614
81 2.0125 1.17347 28.086
82 2.0375 1.17369 29.444
83 2.0625 1.16075 30.8201
84 2.0875 1.14582 32.2118
85 2.1125 1.12081 33.6058
86 2.1375 1.09282 34.9974
87 2.1625 1.06842 36.3899
88 2.1875 1.05557 37.7977
89 2.2125 1.033 39.2071
90 2.2375 1.00381 40.6077
91 2.2625 0.982278 42.0091
92 2.2875 0.964565 43.4157
93 2.3125 0.947119 44.8273
94 2.3375 0.947458 46.2701
95 2.3625 0.931214 47.7186
96 2.3875 0.920127 49.1804
97 2.4125 0.918222 50.6698
98 2.4375 0.91481 52.1846
99 2.4625 0.909001 53.7208
100 2.4875 0.917373 55.3028
9000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0.000362885 8e-05
37 0.9125 0.00601156 0.00148
38 0.9375 0.0642079 0.01726
39 0.9625 0.27371 0.08816
40 0.9875 0.670506 0.27098
41 1.0125 1.16136 0.60386
42 1.0375 1.53676 1.06636
43 1.0625 1.81889 1.64048
44 1.0875 1.91349 2.27322
45 1.1125 1.88557 2.92572
46 1.1375 1.81306 3.58164
47 1.1625 1.63845 4.20072
48 1.1875 1.474 4.78188
49 1.2125 1.32964 5.32842
50 1.2375 1.21378 5.84812
51 1.2625 1.11143 6.34342
52 1.2875 1.03196 6.8217
53 1.3125 0.95588 7.2821
54 1.3375 0.875406 7.71996
55 1.3625 0.836534 8.15416
56 1.3875 0.797137 8.58322
57 1.4125 0.750418 9.00182
58 1.4375 0.724743 9.42054
59 1.4625 0.703048 9.84098
60 1.4875 0.693489 10.27
61 1.5125 0.714926 10.7273
62 1.5375 0.721227 11.204
63 1.5625 0.736453 11.7067
64 1.5875 0.752264 12.2367
65 1.6125 0.755879 12.7862
66 1.6375 0.781489 13.3721
67 1.6625 0.805072 13.9942
68 1.6875 0.835221 14.6592
69 1.7125 0.874035 15.3759
70 1.7375 0.907092 16.1416
71 1.7625 0.93605 16.9545
72 1.7875 0.985996 17.8354
73 1.8125 1.01396 18.7667
74 1.8375 1.06043 19.7678
75 1.8625 1.08781 20.8228
76 1.8875 1.12414 21.9425
77 1.9125 1.1421 23.1104
78 1.9375 1.14769 24.315
79 1.9625 1.18628 25.5924
80 1.9875 1.17755 26.8929
81 2.0125 1.17652 28.2252
82 2.0375 1.16946 29.5826
83 2.0625 1.15149 30.9521
84 2.0875 1.13216 32.3315
85 2.1125 1.10316 33.7079
86 2.1375 1.08984 35.1001
87 2.1625 1.07313 36.5031
88 2.1875 1.036 37.8892
89 2.2125 1.01103 39.2729
90 2.2375 0.997738 40.6695
91 2.2625 0.976901 42.0676
92 2.2875 0.979424 43.5005
93 2.3125 0.971077 44.9524
94 2.3375 0.947691 46.4001
95 2.3625 0.937806 47.8636
96 2.3875 0.915281 49.3222
97 2.4125 0.905918 50.7964
98 2.4375 0.911943 52.3113
99 2.4625 0.923298 53.8767
100 2.4875 0.915521 55.4605
10000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
